latin,german
"ordo, ordinis (m.)","Reihe, Stand, Ordnung"
"oriri, orior, ortus sum","entstehen, aufgehen (Sonne), abstammen"
ornare,"schmücken, ausstatten"
"ōs, oris (n.)","Gesicht, Mund"
"otium, -i (n.)","Muße, freie Zeit"
"negotium, -i (n.)","Geschäft, Aufgabe"
parare,"(vor)bereiten, sich bereit machen, vorhaben"
"paratus, a, um (ad)","bereit (zu), vorbereitet"
imperare,"befehlen, herrschen"
"imperium, -i (n.)","Befehl, Herrschaft, Reich"
"parēre, pareo, parui",gehorchen
"pars, partis (f.)","Teil, Seite; im Plural: Partei"
parum,zu wenig
"parvus, -a, -um","klein, gering"
"pater, patris, m",Vater
Plural patres,die Senatoren
"patēre, pateo, patui","offenstehen, sich erstrecken"
"pati, patior, passus sum","dulden, erleiden, zulassen"
"patria, -ae (f.)","Heimat, Vaterland"
"pauci, -ae, -a",wenige
"pecunia, -ae (f.)",Geld
"pellere, pello, pepuli, pulsum","treiben, stoßen, schlagen, vertreiben"
appellare,"anreden, (be)nennen"
per (Präposition + Akk.),durch
"periculum, -i (n.)",Gefahr
"petere, peto, petivi, petitum","zu erreichen suchen, streben nach ..., verlangen, bitten, angreifen"
"impetus, -ūs (m.)","Ansturm, Angriff, Antrieb"
"placēre, placeo, placui, placitum",gefallen
"plebs, plebis (f.)",(das niedere) Volk
"plenus, a, um (+ Gen.)",voll (von ...)
"plerique, pleraeque, pleraque",die meisten
"complures, complura",mehrere
"poena, -ae (f.)",Strafe
"polliceri, polliceor, pollicitus sum",(jem. etwas) versprechen
"ponere, pono, posui, positum","setzen, stellen, legen"
"populus, -i (m.)",Volk
"publicus, -a, -um","öffentlich, staatlich"
post (Präposition + Akk.),"nach, hinter"
post / postea (Adverb),"danach, später"
postquam (Konjunktion +Ind. Perf.),nachdem (Nebensatzeinleitung)
postremo,zuletzt
"potestas, -atis (f.)","Macht, Amtsgewalt, Möglichkeit"
"praemium, -i (n.)","Belohnung, Preis"
"praesidium, -i (n.)","Schutz, Posten, Besatzung"
praeterea,außerdem
"premere, premo, pressi, pressum","drücken, (be)drängen"
"primus, a, um",der erste
primum,"zuerst, zum erstenmal, erstens"
"princeps, principis (m.)","der erste, der vornehmste; der führende Mann, Fürst"
pro (Präposition + Abl).,"vor, für, an Stelle von, im Verhältnis zu"
probare,"billigen, prüfen"
"proelium, -i (n.)","Schlacht, Gefecht"
profecto (Adv.),"in der Tat, tatsächlich"
prope 1. (Präposition + Akk.); 2. (Adverb),1. nahe bei ...; 2. beinahe
propter (Präposition + Akk.),wegen
"provincia, -ae (f.)","Provinz, Amtsbereich"
"proximus, -a, -um","der nächste, der letzte"
pugnare,kämpfen
putare,"glauben, meinen, halten für"
te amicum puto,ich halte dich für meinen Freund
"quaerere, quaero, quaesivi, quaesitum","suchen, fragen"
quaerere aliquid ex / ab aliquo,jem. nach etwas fragen
quam,1. wie (bei Adjektiven und in der Verbindung tam ... quam = so ... wie ) 2. nach einem Komparativ: als 3. mit einem Superlativ: möglichst
maior quam ...,größer als ...
quam longissimus,möglichst lang
numquam,niemals
"quantus, -a, -um?",wie groß?
"qui, quae, quod","1. der; welcher (Relativpronomen) 2. welcher? (Intrerrogativpronomen) 3. nach si, nisi, ne, num: irgendein"
"quidam, quaedam, quoddam","ein gewisser, Pl.: manche"
quis? / quid?,wer? was?
"quisquam, quicquam","irgendjemand, irgendetwas"
quisque,jeder
unusquisque,jeder einzelne
"quisquis, quidquid","wer/was auch immer; jeder, der; alles was"
quidem,"wenigstens, allerdings, zwar"
quod (Konjunktion),weil; dass
quoque (nachgestellt),auch
"ratio, -onis (f.)","Berechnung, Rechenschaft, Überlegung, Art und Weise, Vernunft, Gesetzmäßigkeit"
"relinquere, relinquo, reliqui, relictum","zurücklassen, verlassen"
"reliquus, -a, -um","übrig, restlich"
"res, rei (f.)","Sache, Ding, Tat, Angelegenheit"
"res publica, rei publicae (f.)","Staat, Politik"
"rex, regis (m.)",König
"regnum, -i (n.)","Königreich, Königsherrschaft"
saepe,oft
"salus, salutis (f.)","Rettung, Wohlergehen, Gesundheit"
"sapiens, Gen. sapientis","vernünftig, weise"
satis,genug
"scelus, sceleris (n.)",Verbrechen
"scribere, scribo, scripsi, scriptum",schreiben
sed,"aber, sondern"
"seditio, -onis (f.)","Aufstand, Aufruhr"
semper,immer
"senatus, ūs (m.)",Senat
"sentire, sentio, sensi, sensum","fühlen, meinen, merken"
"sequi, sequor, secutus sum (+ Akk.)","folgen, begleiten"
"socius, -i (m.)","Bundesgenosse, Gefährte"
"sermo, -onis (m.)","Sprache, Rede, Gespräch"
"servus, -i (m.)",Sklave
si,"wenn, falls"
nisi,wenn nicht
quasi,"wie, gleichwie, gleichsam, als ob"
sic,"so, auf diese Weise"
"signum, -i (n.)","Zeichen, Feldzeichen"
simul,"gleichzeitig, zugleich"
sine (Präposition + Abl.),ohne
"socius, i, m","der Verbündete, Gefährte; Adjektiv: verbündet"
"sol, solis (m.)",Sonne
"solēre, soleo, solitus sum","gewohnt sein, pflegen"
"solus, -a, -um","allein, einzig"
"non solum ..., sed etiam ...","nicht nur ..., sondern auch ..."
"solvere, solvo, solvi, solutum","lösen, befreien, bezahlen"
"soror, sororis (f.)",Schwester
sperare,hoffen
"spes, spei (f.)",Hoffnung
"stare, sto, steti, statum",stehen
statim,sofort
"constituere, constituo, constitui, constitutum","aufstellen, festsetzen"
"studium, -i (n.)","Eifer, Vorliebe, Bemühung, wiss.Beschäftigung"
sub (Präposition+ Akk.),"unter (Frage: „wohin?“), unmittelbar vor / nach"
sub (Präposition+ Abl.),"unter, unterhalb (Frage „wo?“)"
subito,plötzlich
"superior, superius","der obere, der höhere; der frühere; überlegen"
"summus, -a, -um","der oberste, höchste"
superare,"übertreffen, überwinden"
"supplicium, -i (n.)","Strafe, Todesstrafe"
"talis, tale","ein solcher, derartig"
tam,"so, in solchem Grade"
tamen,dennoch
"tantus, -a, -um",so groß
tantus … quantus,so groß wie
tantum,nur
"tegere, tego, texi, tectum","(be)decken, beschützen"
"templum, -i (n.)",Tempel
"tempus, -oris (n.)","Zeit, Pl.: Lage, Umstände"
"tempestas, -atis (f.)","Sturm, Unwetter"
"tenēre, teneo, tenui, tentum","halten, festhalten"
"terra, -ae (f.)","Land, Erde"
"timēre, timeo, timui",fürchten
"timor, -oris (m.)","Angst, Furcht"
"tollere, tollo, sustuli, sublatum","emporheben, aufheben, beseitigen"
"totus, -a, -um Gen.: totius, Dat.: toti",ganz
"tuus, -a, -um",dein
tum / tunc,"da, dann, darauf, damals"
"tutus, -a, -um","sicher, geschützt"
"ullus, -a, -um",irgendein
"nullus, -a, -um Gen.: (n)ullius, Dat.: (n)ulli",kein
"unus, -a, -um Gen.: unius, Dat.: uni","ein einziger, einzig"
"urbs, urbis (f.)",Stadt (meistens ist Rom gemeint)
usque ad (+ Akk.),bis zu …
ut,"1. + Ind.: wie (Vergleich); + Ind. Perf. (auch: ut primum) sobald 2. + Konj.: dass, damit, so dass (selten: wenn auch)"
"uterque, utraque, utrumque","jeder von beiden, beide"
"uti, utor, usus sum (+ Abl.)","gebrauchen, benutzen"
"valēre, valeo, valui","gesund sein, stark sein, Einfluß haben"
"varius, -a, -um","verschieden, bunt"
"velle, volo, volui",wollen
vel,oder
"venire, venio, veni, ventum",kommen
convenire,"zusammenkommen, passen"
pervenire,"gelangen, hinkommen"
"verbum, -i (n.)",Wort
"verus, -a, -um","wahr, echt"
"vero, verum (Konjunktion)",aber
"vetus, Gen. veteris",alt
"vidēre, video, vidi, visum",sehen
"vidēri videor, visus sum",scheinen (außerdem natürlich: gesehen werden)
"invidia, -ae (f.)","Neid, Missgunst"
"vincere, vinco, vici, victum",(be)siegen
"vir, viri (m.)",Mann
"virtūs, -utis (f.)","Tapferkeit, Tugend, Tüchtigkeit; Pl.: Leistungen"
"vis, vim, vi (f.)","Kraft, Gewalt"
magna vis auri,eine große Menge Gold
"vires, virium (f. Pl.)","Streitkräfte, Truppen"
"vita, -ae (f.)",Leben
"vivere, vivo, vixi (victurus)",leben
"vivus, -a, -um","lebend, zu Lebzeiten"
vix,"mit Mühe, kaum"
"volvere, volvo, volvi, volutum","wälzen, rollen, erwägen"
vos,ihr / euch (Nominativ oder Akkusativ)
"vester, vestra, vestrum",euer
quis vestrum?,wer von euch?
vestrum est,es ist eure Aufgabe
"votum, -i (n.)","Gelübde, Wunsch"
"vox, vocis (f.)","Stimme, Laut, Wort"
vocare,"rufen, nennen"
"vulgus, i (n.)","Volk, (breite) Masse, Pöbel"
vulgo (Adverb),"allgemein, massenhaft"
"vulnus, vulneris (n.)",Wunde
vulnerare,"verletzen, kränken"
"vultus, ūs (m.)","Gesichtsausdruck, Miene"
